<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
IMOEX;D;240326;000000;3285.54
IMOEX;D;240327;000000;3304.09
IMOEX;D;240328;000000;3312.77
IMOEX;D;240329;000000;3332.53
IMOEX;D;240401;000000;3363.29
IMOEX;D;240402;000000;3371.29
IMOEX;D;240403;000000;3395.59
IMOEX;D;240404;000000;3407.57
IMOEX;D;240405;000000;3395.37
IMOEX;D;240408;000000;3417.38
IMOEX;D;240409;000000;3414.26
IMOEX;D;240410;000000;3439.11
IMOEX;D;240411;000000;3439.53
IMOEX;D;240412;000000;3456.24
IMOEX;D;240415;000000;3472.19
IMOEX;D;240416;000000;3462.94
IMOEX;D;240417;000000;3454.07
IMOEX;D;240418;000000;3455.82
IMOEX;D;240419;000000;3470.88
IMOEX;D;240422;000000;3479.17
IMOEX;D;240423;000000;3439.42
IMOEX;D;240424;000000;3428.93
IMOEX;D;240425;000000;3439.76
IMOEX;D;240426;000000;3449.77
IMOEX;D;240427;000000;3465.85
IMOEX;D;240429;000000;3478.08
IMOEX;D;240430;000000;3469.83
IMOEX;D;240502;000000;3442.83
IMOEX;D;240503;000000;3441.77
IMOEX;D;240506;000000;3436.05
IMOEX;D;240507;000000;3427.61
IMOEX;D;240508;000000;3432.54
IMOEX;D;240510;000000;3449.78
IMOEX;D;240513;000000;3457.11
IMOEX;D;240514;000000;3463.93
IMOEX;D;240515;000000;3470.72
IMOEX;D;240516;000000;3486.26
IMOEX;D;240517;000000;3501.89
IMOEX;D;240520;000000;3468.09
IMOEX;D;240521;000000;3428.38
IMOEX;D;240522;000000;3444.64
IMOEX;D;240523;000000;3442.79
IMOEX;D;240524;000000;3396.5
IMOEX;D;240527;000000;3299.22
IMOEX;D;240528;000000;3302.91
IMOEX;D;240529;000000;3318.03
IMOEX;D;240530;000000;3282.18
IMOEX;D;240531;000000;3217.19
IMOEX;D;240603;000000;3141.42
IMOEX;D;240604;000000;3186.93
IMOEX;D;240605;000000;3212.24
IMOEX;D;240606;000000;3192.38
IMOEX;D;240607;000000;3233.22
IMOEX;D;240610;000000;3180.94
IMOEX;D;240611;000000;3171.1
IMOEX;D;240613;000000;3171.69
IMOEX;D;240614;000000;3215.91
IMOEX;D;240617;000000;3183.68
IMOEX;D;240618;000000;3114.15
IMOEX;D;240619;000000;3027.47
IMOEX;D;240620;000000;3123.43
IMOEX;D;240621;000000;3114.35
IMOEX;D;240624;000000;3098.05
IMOEX;D;240625;000000;3111.39
IMOEX;D;240626;000000;3151.7
IMOEX;D;240627;000000;3150.32
IMOEX;D;240628;000000;3154.36
IMOEX;D;240701;000000;3186.19
IMOEX;D;240702;000000;3217.29
IMOEX;D;240703;000000;3203.07
IMOEX;D;240704;000000;3133.81
IMOEX;D;240705;000000;3149.29
IMOEX;D;240708;000000;3132.58
IMOEX;D;240709;000000;3054.07
IMOEX;D;240710;000000;2975.75
IMOEX;D;240711;000000;2992.21
IMOEX;D;240712;000000;2973.21
IMOEX;D;240715;000000;2913.48
IMOEX;D;240716;000000;2944.86
IMOEX;D;240717;000000;2947.24
IMOEX;D;240718;000000;2980.62
IMOEX;D;240719;000000;3008.24
IMOEX;D;240722;000000;3024.54
IMOEX;D;240723;000000;3028.01
IMOEX;D;240724;000000;3051.76
IMOEX;D;240725;000000;3041.37
IMOEX;D;240726;000000;2993.23
IMOEX;D;240729;000000;2906.95
IMOEX;D;240730;000000;2944.78
IMOEX;D;240731;000000;2942.68
IMOEX;D;240801;000000;2935.69
IMOEX;D;240802;000000;2899
IMOEX;D;240805;000000;2828.72
IMOEX;D;240806;000000;2830.75
IMOEX;D;240807;000000;2874.94
IMOEX;D;240808;000000;2852.51
IMOEX;D;240809;000000;2848.29
IMOEX;D;240812;000000;2844.77
IMOEX;D;240813;000000;2884.6
IMOEX;D;240814;000000;2871.11
IMOEX;D;240815;000000;2838.11
IMOEX;D;240816;000000;2828.2
IMOEX;D;240819;000000;2775.64
IMOEX;D;240820;000000;2768.42
IMOEX;D;240821;000000;2768.14
IMOEX;D;240822;000000;2725.75
IMOEX;D;240823;000000;2662.47
IMOEX;D;240826;000000;2763.75
IMOEX;D;240827;000000;2730.38
IMOEX;D;240828;000000;2699.98
IMOEX;D;240829;000000;2708.27
IMOEX;D;240830;000000;2650.32
IMOEX;D;240902;000000;2545.07
IMOEX;D;240903;000000;2524.38
IMOEX;D;240904;000000;2605.15
IMOEX;D;240905;000000;2621.62
IMOEX;D;240906;000000;2623.37
IMOEX;D;240909;000000;2703.17
IMOEX;D;240910;000000;2671.38
IMOEX;D;240911;000000;2668.03
IMOEX;D;240912;000000;2615
IMOEX;D;240913;000000;2678.99
IMOEX;D;240916;000000;2744.2
IMOEX;D;240917;000000;2774.04
IMOEX;D;240918;000000;2751.73
IMOEX;D;240919;000000;2758.91
IMOEX;D;240920;000000;2782.35
IMOEX;D;240923;000000;2819.87
IMOEX;D;240924;000000;2871.96
IMOEX;D;240925;000000;2830.11
IMOEX;D;240926;000000;2829.65
IMOEX;D;240927;000000;2858.56
IMOEX;D;240930;000000;2857.56
IMOEX;D;241001;000000;2814.19
IMOEX;D;241002;000000;2766.79
IMOEX;D;241003;000000;2782.39
IMOEX;D;241004;000000;2804.62
IMOEX;D;241007;000000;2793.84
IMOEX;D;241008;000000;2788.37
IMOEX;D;241009;000000;2748.81
IMOEX;D;241010;000000;2761.54
IMOEX;D;241011;000000;2754.52
IMOEX;D;241014;000000;2773.36
IMOEX;D;241015;000000;2805.79
IMOEX;D;241016;000000;2783.46
IMOEX;D;241017;000000;2763.53
IMOEX;D;241018;000000;2751.9
IMOEX;D;241021;000000;2767.71
IMOEX;D;241022;000000;2755.19
IMOEX;D;241023;000000;2734.93
IMOEX;D;241024;000000;2718.42
IMOEX;D;241025;000000;2660.36
IMOEX;D;241028;000000;2575.06
IMOEX;D;241029;000000;2599.66
IMOEX;D;241030;000000;2615.38
IMOEX;D;241031;000000;2560.2
IMOEX;D;241101;000000;2574.71
IMOEX;D;241102;000000;2594.38
IMOEX;D;241105;000000;2616.51
IMOEX;D;241106;000000;2662.87
IMOEX;D;241107;000000;2690.63
IMOEX;D;241108;000000;2734.56
IMOEX;D;241111;000000;2785.31
IMOEX;D;241112;000000;2756.76
IMOEX;D;241113;000000;2763.99
IMOEX;D;241114;000000;2697.47
IMOEX;D;241115;000000;2739.21
IMOEX;D;241118;000000;2720.77
IMOEX;D;241119;000000;2630.51
IMOEX;D;241120;000000;2596.89
IMOEX;D;241121;000000;2568.6
IMOEX;D;241122;000000;2581.05
IMOEX;D;241125;000000;2530.69
IMOEX;D;241126;000000;2464.35
IMOEX;D;241127;000000;2491.88
IMOEX;D;241128;000000;2547.88
IMOEX;D;241129;000000;2578
IMOEX;D;241202;000000;2586.74
IMOEX;D;241203;000000;2539.64
IMOEX;D;241204;000000;2485.62
IMOEX;D;241205;000000;2510.83
IMOEX;D;241206;000000;2536.23
IMOEX;D;241209;000000;2572.89
IMOEX;D;241210;000000;2522.75
IMOEX;D;241211;000000;2512.54
IMOEX;D;241212;000000;2492.63
IMOEX;D;241213;000000;2485.2
IMOEX;D;241216;000000;2420.3
IMOEX;D;241217;000000;2377.15
IMOEX;D;241218;000000;2409.35
IMOEX;D;241219;000000;2416.45
IMOEX;D;241220;000000;2638.42
IMOEX;D;241223;000000;2702.48
IMOEX;D;241224;000000;2690.96
IMOEX;D;241225;000000;2732.83
IMOEX;D;241226;000000;2766.57
IMOEX;D;241227;000000;2757.45
IMOEX;D;241228;000000;2786.67
IMOEX;D;241230;000000;2883.04
