<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;240830;000000;260.31
SBER;D;240831;000000;254.45
SBER;D;240903;000000;244.31
SBER;D;240904;000000;244.04
SBER;D;240905;000000;253.01
SBER;D;240906;000000;252.82
SBER;D;240907;000000;254.77
SBER;D;240910;000000;263.31
SBER;D;240911;000000;261.29
SBER;D;240912;000000;258.2
SBER;D;240913;000000;254.93
SBER;D;240914;000000;258.25
SBER;D;240917;000000;263.79
SBER;D;240918;000000;265.99
SBER;D;240919;000000;263.4
SBER;D;240920;000000;264.5
SBER;D;240921;000000;267.68
